Var1	Var2	Freq
Schizophrenia	Schizophrenia	0.9
Schizoaffective	Schizophrenia	0.16
Schizophreniform	Schizophrenia	0.57
Bipolar	Schizophrenia	0.02
Depression	Schizophrenia	0.09
Delusional	Schizophrenia	0.29
Brief_psychotic	Schizophrenia	0.21
Substance	Schizophrenia	0.17
Psychosis_NOS	Schizophrenia	0.31
Schizophrenia	Schizoaffective	0.04
Schizoaffective	Schizoaffective	0.72
Schizophreniform	Schizoaffective	0.05
Bipolar	Schizoaffective	0.05
Depression	Schizoaffective	0.05
Delusional	Schizoaffective	0.04
Brief_psychotic	Schizoaffective	0.02
Substance	Schizoaffective	0.04
Psychosis_NOS	Schizoaffective	0.1
Schizophrenia	Schizophreniform	0.01
Schizoaffective	Schizophreniform	0.01
Schizophreniform	Schizophreniform	0.29
Bipolar	Schizophreniform	0.01
Depression	Schizophreniform	0.01
Delusional	Schizophreniform	0.01
Brief_psychotic	Schizophreniform	0.02
Substance	Schizophreniform	0.02
Psychosis_NOS	Schizophreniform	0.02
Schizophrenia	Bipolar	0.015
Schizoaffective	Bipolar	0.04
Schizophreniform	Bipolar	0.03
Bipolar	Bipolar	0.9
Depression	Bipolar	0.11
Delusional	Bipolar	0.025
Brief_psychotic	Bipolar	0.06
Substance	Bipolar	0.03
Psychosis_NOS	Bipolar	0.035
Schizophrenia	Depression	0.015
Schizoaffective	Depression	0.04
Schizophreniform	Depression	0.03
Bipolar	Depression	0.01
Depression	Depression	0.73
Delusional	Depression	0.025
Brief_psychotic	Depression	0.06
Substance	Depression	0.03
Psychosis_NOS	Depression	0.035
Schizophrenia	Delusional	0.01
Schizoaffective	Delusional	0.01
Schizophreniform	Delusional	0.01
Bipolar	Delusional	0.01
Depression	Delusional	0.01
Delusional	Delusional	0.59
Brief_psychotic	Delusional	0.01
Substance	Delusional	0.02
Psychosis_NOS	Delusional	0.03
Schizophrenia	Brief_psychotic	0.01
Schizoaffective	Brief_psychotic	0.01
Schizophreniform	Brief_psychotic	0.01
Bipolar	Brief_psychotic	0.01
Depression	Brief_psychotic	0.01
Delusional	Brief_psychotic	0.01
Brief_psychotic	Brief_psychotic	0.56
Substance	Brief_psychotic	0.02
Psychosis_NOS	Brief_psychotic	0.04
Schizophrenia	Substance	0.03
Schizoaffective	Substance	0.01
Schizophreniform	Substance	0.01
Bipolar	Substance	0.01
Depression	Substance	0.01
Delusional	Substance	0.01
Brief_psychotic	Substance	0.01
Substance	Substance	0.66
Psychosis_NOS	Substance	0.01
Schizophrenia	Psychosis_NOS	0.01
Schizoaffective	Psychosis_NOS	0.02
Schizophreniform	Psychosis_NOS	0.01
Bipolar	Psychosis_NOS	0.01
Depression	Psychosis_NOS	0.01
Delusional	Psychosis_NOS	0.01
Brief_psychotic	Psychosis_NOS	0.01
Substance	Psychosis_NOS	0.01
Psychosis_NOS	Psychosis_NOS	0.36
